
VD= 0 to -5 in -0.1 step
VG= 0 to -5 in -0.5 step
NO. VG VB VD ID IB
 V V V A A
272 -2.5 0 -1.6 -2.6392E-05 4.475E-11
273 -2.5 0 -1.7 -2.6419E-05 4.482E-11
274 -2.5 0 -1.8 -2.6428E-05 4.485E-11
275 -2.5 0 -1.9 -2.6435E-05 4.493E-11
276 -2.5 0 -2 -2.644E-05 4.487E-11
277 -2.5 0 -2.1 -2.6443E-05 4.489E-11
278 -2.5 0 -2.2 -2.6444E-05 4.5E-11
279 -2.5 0 -2.3 -2.6448E-05 4.499E-11
280 -2.5 0 -2.4 -2.6451E-05 4.504E-11
281 -2.5 0 -2.5 -2.6455E-05 4.518E-11
282 -2.5 0 -2.6 -2.6455E-05 4.513E-11
283 -2.5 0 -2.7 -2.6458E-05 4.523E-11
284 -2.5 0 -2.8 -2.6459E-05 4.52E-11
285 -2.5 0 -2.9 -2.6459E-05 4.52E-11
286 -2.5 0 -3 -2.6462E-05 4.512E-11
287 -2.5 0 -3.1 -2.6464E-05 4.526E-11
288 -2.5 0 -3.2 -2.6466E-05 4.524E-11
289 -2.5 0 -3.3 -2.6467E-05 4.519E-11
290 -2.5 0 -3.4 -2.6467E-05 4.499E-11
291 -2.5 0 -3.5 -2.6471E-05 4.482E-11
292 -2.5 0 -3.6 -2.6472E-05 4.489E-11
293 -2.5 0 -3.7 -2.6473E-05 4.499E-11
294 -2.5 0 -3.8 -2.6476E-05 4.506E-11
295 -2.5 0 -3.9 -2.6475E-05 4.52E-11
296 -2.5 0 -4 -2.6478E-05 4.559E-11
297 -2.5 0 -4.1 -2.6479E-05 4.606E-11
298 -2.5 0 -4.2 -2.6481E-05 4.714E-11
299 -2.5 0 -4.3 -2.6481E-05 4.871E-11
300 -2.5 0 -4.4 -2.6483E-05 5.145E-11
301 -2.5 0 -4.5 -2.6483E-05 5.591E-11
302 -2.5 0 -4.6 -2.6486E-05 6.315E-11
303 -2.5 0 -4.7 -2.6487E-05 7.359E-11
304 -2.5 0 -4.8 -2.6489E-05 9.117E-11
305 -2.5 0 -4.9 -2.6491E-05 1.1467E-10
306 -2.5 0 -5 -2.6491E-05 1.4912E-10
307 -3 0 0 2.8717E-08 4.403E-11
308 -3 0 -0.1 -4.4262E-06 4.414E-11
309 -3 0 -0.2 -8.5929E-06 4.416E-11
310 -3 0 -0.3 -1.2483E-05 4.437E-11
311 -3 0 -0.4 -1.6098E-05 4.444E-11
312 -3 0 -0.5 -1.9446E-05 4.436E-11
313 -3 0 -0.6 -2.2523E-05 4.447E-11
314 -3 0 -0.7 -2.5338E-05 4.453E-11
315 -3 0 -0.8 -2.7893E-05 4.464E-11
316 -3 0 -0.9 -3.0192E-05 4.466E-11
317 -3 0 -1 -3.2236E-05 4.469E-11
318 -3 0 -1.1 -3.4017E-05 4.466E-11
319 -3 0 -1.2 -3.5569E-05 4.48E-11
320 -3 0 -1.3 -3.6877E-05 4.476E-11
321 -3 0 -1.4 -3.7947E-05 4.477E-11
322 -3 0 -1.5 -3.8792E-05 4.479E-11
323 -3 0 -1.6 -3.9424E-05 4.484E-11
324 -3 0 -1.7 -3.986E-05 4.496E-11
325 -3 0 -1.8 -4.0127E-05 4.489E-11
326 -3 0 -1.9 -4.0265E-05 4.502E-11
327 -3 0 -2 -4.0329E-05 4.499E-11
328 -3 0 -2.1 -4.0358E-05 4.507E-11
329 -3 0 -2.2 -4.0371E-05 4.514E-11
330 -3 0 -2.3 -4.0383E-05 4.505E-11
331 -3 0 -2.4 -4.0389E-05 4.518E-11
332 -3 0 -2.5 -4.039E-05 4.525E-11
333 -3 0 -2.6 -4.0395E-05 4.518E-11
334 -3 0 -2.7 -4.04E-05 4.516E-11
335 -3 0 -2.8 -4.0403E-05 4.525E-11
