FET Vgs-Id
VG=,0,to,5,in,0.1,step
VDS=,0,to,7,in,0.1,step
NO.,VG,ID,VDS,VSUB
,V,A,V,V
353,4.6,0.0018193,0.6,-1
354,4.7,0.0018488,0.6,-1
355,4.8,0.0018775,0.6,-1
356,4.9,0.0019056,0.6,-1
357,5,0.0019323,0.6,-1
358,0,7.4E-13,0.7,-1
359,0.1,5.7E-13,0.7,-1
360,0.2,5.3E-13,0.7,-1
361,0.3,1.09E-12,0.7,-1
362,0.4,1.358E-11,0.7,-1
363,0.5,2.9969E-10,0.7,-1
364,0.6,6.6221E-09,0.7,-1
365,0.7,1.2937E-07,0.7,-1
366,0.8,1.554E-06,0.7,-1
367,0.9,8.5652E-06,0.7,-1
368,1,2.6146E-05,0.7,-1
369,1.1,5.6489E-05,0.7,-1
370,1.2,9.981E-05,0.7,-1
371,1.3,0.00015549,0.7,-1
372,1.4,0.00022239,0.7,-1
373,1.5,0.00029851,0.7,-1
374,1.6,0.00038081,0.7,-1
375,1.7,0.00046588,0.7,-1
376,1.8,0.0005511,0.7,-1
377,1.9,0.0006349,0.7,-1
378,2,0.00071658,0.7,-1
379,2.1,0.00079546,0.7,-1
380,2.2,0.00087159,0.7,-1
381,2.3,0.00094507,0.7,-1
382,2.4,0.00101527,0.7,-1
383,2.5,0.00108344,0.7,-1
384,2.6,0.001149,0.7,-1
385,2.7,0.0012126,0.7,-1
386,2.8,0.0012738,0.7,-1
387,2.9,0.0013327,0.7,-1
388,3,0.0013896,0.7,-1
389,3.1,0.0014452,0.7,-1
390,3.2,0.0014988,0.7,-1
391,3.3,0.0015504,0.7,-1
392,3.4,0.0016005,0.7,-1
393,3.5,0.0016492,0.7,-1
394,3.6,0.0016962,0.7,-1
395,3.7,0.0017423,0.7,-1
396,3.8,0.0017864,0.7,-1
397,3.9,0.0018295,0.7,-1
398,4,0.0018714,0.7,-1
399,4.1,0.0019125,0.7,-1
400,4.2,0.0019525,0.7,-1
401,4.3,0.001991,0.7,-1
402,4.4,0.0020282,0.7,-1
403,4.5,0.0020649,0.7,-1
404,4.6,0.0021004,0.7,-1
405,4.7,0.0021353,0.7,-1
406,4.8,0.0021695,0.7,-1
407,4.9,0.0022024,0.7,-1
408,5,0.0022349,0.7,-1
409,0,7.4E-13,0.8,-1
410,0.1,6E-13,0.8,-1
411,0.2,4.7E-13,0.8,-1
412,0.3,1.03E-12,0.8,-1
413,0.4,1.375E-11,0.8,-1
414,0.5,3.0197E-10,0.8,-1
415,0.6,6.7171E-09,0.8,-1
416,0.7,1.2955E-07,0.8,-1
